Config,Dataset,NumQueries,EM,F1,Recall@k,AvgFaithfulness,HallucinationRate,AvgLatencyMs,AvgRetrievalLatencyMs,AvgRerankLatencyMs,AvgGenerationLatencyMs,AvgQueryExpansionLatencyMs,TotalGenerationCostUsd,AvgGenerationCostUsd,GenerationErrorRate,UseReranker,QueryExpansionMode,GeneratorModel
C1_dense_only,hotpotqa,200,0.02,0.1009136618899553,0.655,0.108,0.895,15760.64674400006,522.4928019999606,0.0,15238.153942000099,0.0,0.36327519999999985,0.0019220910052910054,0.055,False,off,MiniMax-M2.5
C1_dense_only,nq,200,0.01,0.11556071581560892,0.73,0.04,0.965,11073.009508000105,506.90131700015627,0.0,10566.108190999948,0.0,0.33590080000000017,0.001687943718592965,0.005,False,off,MiniMax-M2.5
C1_dense_only,triviaqa,200,0.03,0.17619105677268265,0.665,0.1195,0.89,10844.355622000312,501.29057500014824,0.0,10343.065047000164,0.0,0.34569559999999994,0.00176375306122449,0.02,False,off,MiniMax-M2.5
C2_dense_rerank,hotpotqa,200,0.045,0.13137630837601674,0.72,0.1145,0.88,15965.67109550002,496.7608645001019,455.32348299999285,15013.586747999925,0.0,0.3449868,0.0019165933333333334,0.1,True,off,MiniMax-M2.5
C2_dense_rerank,nq,200,0.01,0.11229478526793976,0.765,0.077,0.93,10776.969247499837,490.75726649996795,271.27437049994114,10014.937610499928,0.0,0.3414035999999999,0.0017242606060606062,0.01,True,off,MiniMax-M2.5
C2_dense_rerank,triviaqa,200,0.06,0.2116928479372028,0.685,0.0338,0.97,13162.788485500387,490.9226114998637,358.432054500081,12313.433819500442,0.0,0.34349400000000024,0.001779761658031088,0.035,True,off,MiniMax-M2.5
C3_dense_rerank_topk5,hotpotqa,200,0.045,0.13799634883753892,0.635,0.0,1.0,14957.070334500131,485.5841650000366,434.471537000245,14037.01463249985,0.0,0.17115400000000008,0.0009301847826086956,0.08,True,off,MiniMax-M2.5
C3_dense_rerank_topk5,nq,200,0.01,0.11309331711599135,0.635,0.0,1.0,11034.19947600043,480.3082255005211,271.046174999974,10282.845075499936,0.0,0.15658399999999997,0.000786854271356784,0.005,True,off,MiniMax-M2.5
C3_dense_rerank_topk5,triviaqa,200,0.045,0.1874478332155671,0.595,0.0,1.0,12495.124217499724,492.49500400019315,350.56126149964257,11652.067951999888,0.0,0.15695559999999992,0.0008049005128205128,0.025,True,off,MiniMax-M2.5
C4_rerank_hyde,hotpotqa,200,0.055,0.14520517903949837,0.725,0.0,1.0,22075.33581500007,519.2251479999686,392.1898054999474,13054.881927499991,8109.038934000164,0.3396199999999998,0.0018660439560439562,0.09,True,hyde,MiniMax-M2.5
C4_rerank_hyde,nq,200,0.005,0.10831836484379774,0.81,0.0,1.0,17854.90982950021,499.25643850019696,239.62727500020264,8773.360619499836,8342.665496499976,0.3367104000000001,0.001683552,0.0,True,hyde,MiniMax-M2.5
C4_rerank_hyde,triviaqa,200,0.06,0.19430659889590593,0.71,0.0,1.0,23715.838735999278,504.9509694995504,262.8526259998398,12655.781076999992,10292.254063499895,0.3336099999999999,0.001746649214659686,0.045,True,hyde,MiniMax-M2.5
C5_rerank_decompose,hotpotqa,200,0.03,0.123061654189503,0.72,0.0,1.0,19634.01611800011,485.8137620004709,369.0250785000171,18779.17727749962,0.0,0.35205280000000005,0.0019667754189944134,0.105,True,off,MiniMax-M2.5
C5_rerank_decompose,nq,200,0.015,0.1260313798418228,0.79,0.0,1.0,22657.938151500057,537.6444034997985,272.8257209999356,11819.871092000067,10027.596935000256,0.34044480000000005,0.001702224,0.0,True,hyde,MiniMax-M2.5
C5_rerank_decompose,triviaqa,200,0.045,0.18973712227886078,0.685,0.0,1.0,12031.71181300011,542.6261334999435,349.783956999745,11139.301722500422,0.0,0.34258919999999987,0.0017568676923076924,0.025,True,off,MiniMax-M2.5
